0---{2951: 1, 2952: 1}
made---{2951: 1, 2952: 1}
map---{2951: 4, 2952: 4}
mm9---{2951: 1, 2952: 1}
model---{2951: 2, 2952: 2}
motif---{2951: 17, 2952: 17}
motifmap---{2951: 13, 2952: 13}
mous---{2951: 1, 2952: 1}
multiz30way---{2951: 1, 2952: 1}
multiz46way---{2951: 1, 2952: 1}
my---{2951: 2, 2952: 2}
name---{2951: 5, 2952: 5}
nation---{2951: 2, 2952: 2}
neighbour---{2951: 1, 2952: 1}
new---{2951: 4, 2952: 4}
next---{2951: 8, 2952: 8}
nlod---{2951: 7, 2952: 7}
now---{2951: 1, 2952: 1}
o---{2951: 1, 2952: 1}
of---{2951: 9, 2952: 9}
offici---{2951: 1, 2952: 1}
on---{2951: 2, 2952: 2}
onli---{2951: 1, 2952: 1}
or---{2951: 3, 2952: 3}
other---{2951: 2, 2952: 2}
overlap---{2951: 1, 2952: 1}
p---{2951: 1, 2952: 1}
patel---{2951: 1, 2952: 1}
paul---{2951: 2, 2952: 2}
pierr---{2951: 2, 2952: 2}
placentalmultiz30waymultiz15way---{2951: 1, 2952: 1}
placentalmultiz46way---{2951: 1, 2952: 1}
pleas---{2951: 2, 2952: 2}
portal---{2951: 3, 2952: 3}
possibl---{2951: 1, 2952: 1}
provid---{2951: 1, 2952: 1}
put---{2951: 1, 2952: 1}
python---{2951: 1, 2952: 1}
queri---{2951: 1, 2952: 1}
r---{2951: 1, 2952: 1}
rate---{2951: 3, 2952: 3}
refin---{2951: 1, 2952: 1}
refseq---{2951: 1, 2952: 1}
region---{2951: 3, 2952: 3}
regulatori---{2951: 4, 2952: 4}
result---{2951: 3, 2952: 3}
rigor---{2951: 2, 2952: 2}
save---{2951: 1, 2952: 1}
scienc---{2951: 1, 2952: 1}
score---{2951: 8, 2952: 8}
search---{2951: 14, 2952: 14}
section---{2951: 1, 2952: 1}
select---{2951: 8, 2952: 8}
sequenc---{2951: 2, 2952: 2}
set---{2951: 2, 2952: 2}
sever---{2951: 1, 2952: 1}
similar---{2951: 1, 2952: 1}
site---{2951: 9, 2952: 9}
snp---{2951: 1, 2952: 1}
snper---{2951: 2, 2952: 2}
some---{2951: 1, 2952: 1}
speci---{2951: 8, 2952: 8}
specieshumanhumanmouseflyyeastworm---{2951: 1, 2952: 1}
start---{2951: 2, 2952: 2}
statist---{2951: 1, 2952: 1}
strand---{2951: 1, 2952: 1}
symbol---{2951: 1, 2952: 1}
system---{2951: 1, 2952: 1}
t---{2951: 1, 2952: 1}
test---{2951: 1, 2952: 1}
tf---{2951: 3, 2952: 3}
the---{2951: 11, 2952: 11}
them---{2951: 2, 2952: 2}
thi---{2951: 1, 2952: 1}
to---{2951: 11, 2952: 11}
track---{2951: 1, 2952: 1}
transcript---{2951: 6, 2952: 6}
tss---{2951: 1, 2952: 1}
txt---{2951: 3, 2952: 3}
uci---{2951: 1, 2952: 1}
ucsc---{2951: 4, 2952: 4}
under---{2951: 1, 2952: 1}
univers---{2951: 1, 2952: 1}
unpublish---{2951: 1, 2952: 1}
upstream---{2951: 2, 2952: 2}
use---{2951: 3, 2952: 3}
user---{2951: 4, 2952: 4}
variou---{2951: 1, 2952: 1}
view---{2951: 3, 2952: 3}
vishal---{2951: 1, 2952: 1}
web---{2951: 1, 2952: 1}
with---{2951: 2, 2952: 2}
xiaohui---{2951: 2, 2952: 2}
xie---{2951: 2, 2952: 2}
you---{2951: 1, 2952: 1}
zscore---{2951: 1, 2952: 1}
