1---{59: 21}
ashfaq---{59: 4}
ask---{59: 2, 60: 1, 61: 1, 64: 1}
assess---{59: 1}
assessing---{59: 1}
assessment---{59: 3}
assignments---{60: 1, 61: 1, 64: 1}
assist---{58: 2}
assistance---{59: 1}
assistant---{58: 1}
assoc---{59: 11}
associate---{58: 1}
associated---{59: 1}
association---{59: 5}
associations---{59: 1}
at---{58: 29, 59: 5, 60: 4, 61: 4, 62: 1, 63: 1, 64: 4}
athey---{59: 1}
audit---{59: 1}
audy---{59: 2}
aug---{59: 4}
austin---{59: 2}
authentication---{59: 1}
author---{59: 2}
automation---{58: 2}
avi---{59: 1}
award---{59: 2}
aware---{59: 1}
awareness---{59: 5}
away---{60: 1, 61: 1, 64: 1}
ay---{59: 1}
ayobi---{58: 1, 59: 1}
b---{59: 12}
bachelor---{58: 6}
background---{58: 1, 60: 1, 61: 1, 64: 1}
balancing---{59: 1}
baldrige---{59: 1}
balins---{59: 1}
barbara---{59: 1}
barcelona---{59: 1}
barriers---{59: 1}
base---{59: 1}
based---{59: 1}
bayer---{59: 2}
bc---{59: 4}
bd---{59: 1}
bdtran---{58: 1}
be---{58: 2, 59: 2, 60: 7, 61: 7, 64: 7}
because---{59: 1, 60: 2, 61: 2, 64: 2}
before---{58: 3, 60: 1, 61: 1, 64: 1}
begin---{58: 1}
begins---{59: 1}
behav---{59: 3}
behavior---{58: 1}
behavioral---{59: 1}
behaviors---{58: 1, 59: 2}
behaviour---{59: 1}
beijing---{58: 1}
being---{59: 1}
bell---{59: 4}
best---{58: 2, 59: 1}
better---{58: 4, 59: 1}
between---{58: 1, 59: 4}
beyond---{59: 1}
bhavnani---{59: 1}
bias---{59: 1}
bietz---{59: 2}
big---{59: 1}
biology---{58: 1}
biomed---{59: 2}
biomedical---{59: 5}
biopsy---{59: 1}
biosurveillance---{59: 4}
bk---{59: 1}
blachley---{59: 1}
black---{59: 1}
blair---{59: 1}
blandford---{59: 1}
blayney---{59: 1}
body---{59: 1}
bonnie---{59: 1}
booth---{59: 3}
bootstrapping---{59: 1}
bossen---{59: 1}
boston---{58: 1}
both---{58: 2}
bother---{59: 1}
boundary---{59: 1}
box---{59: 1}
bradley---{59: 2}
branford---{59: 2}
brannon---{59: 1}
brasilia---{58: 1}
brazil---{58: 2}
bren---{58: 1, 63: 2}
brennan---{59: 1}
brian---{58: 1}
bridge---{58: 1}
brief---{59: 1, 60: 1, 61: 1, 64: 1}
bs---{58: 1}
buehler---{59: 1}
build---{58: 1, 59: 1}
building---{58: 1}
burke---{59: 1}
burkom---{59: 3}
but---{58: 1}
by---{58: 7, 59: 1, 60: 6, 61: 6, 64: 6}
c---{59: 17}
ca---{59: 4, 63: 1}
caldeira---{58: 1, 59: 7, 62: 2}
california---{58: 8, 59: 1, 60: 1, 61: 1, 64: 1}
callaghan---{59: 1}
calvitti---{59: 4}
cameron---{59: 2}
campus---{63: 1}
can---{58: 7, 59: 1, 60: 1, 61: 1, 64: 1}
canada---{59: 3}
cancun---{59: 3}
candidate---{58: 1}
canvasser---{59: 1}
cao---{59: 1}
capacity---{59: 1}
capture---{59: 1}
card---{59: 3}
cardiol---{59: 1}
cardiovascular---{59: 1}
care---{58: 2, 59: 13}
career---{60: 1, 61: 1, 64: 1}
caregivers---{58: 2, 59: 2, 62: 1}
caring---{58: 1, 59: 2}
carnegie---{58: 1}
case---{59: 6}
cd---{59: 1}
ceedings---{59: 1}
censorship---{59: 1}
center---{58: 1, 59: 1}
cerezo---{59: 1}
ch---{59: 1}
chair---{58: 1}
challenge---{58: 1}
challenges---{59: 2}
champaign---{58: 1}
chan---{59: 1}
change---{58: 1}
characteristics---{59: 1}
characterizing---{59: 1}
charlotte---{59: 3}
chart---{59: 1}
chatting---{59: 1}
chci---{59: 1}
chen---{58: 7, 59: 82, 60: 1, 61: 1, 62: 1, 64: 1}
cheng---{59: 1}
chenmaking---{59: 1}
chermack---{59: 1}
chi---{59: 15}
chicago---{59: 4}
children---{59: 1}
china---{58: 2, 59: 5}
chinese---{58: 1, 59: 3}
choi---{59: 3}
chronic---{58: 4, 59: 1, 62: 1}
chronically---{59: 1}
chu---{59: 1}
ciemins---{59: 1}
citizen---{62: 1}
citizens---{58: 1}
city---{59: 2}
civic---{59: 1}
clara---{58: 1, 59: 1, 62: 2}
claram---{58: 1}
clark---{59: 3}
classification---{59: 1}
claus---{59: 1}
clicks---{59: 1}
clin---{59: 2}
clinic---{59: 2}
clinical---{58: 5, 59: 14, 62: 1}
clinics---{59: 1}
closer---{59: 1}
cloud---{58: 1}
cluster---{59: 1}
cm---{59: 2}
co---{59: 4}
coauthorship---{60: 2, 61: 2, 64: 2}
code---{58: 1, 59: 1}
coding---{60: 1, 61: 1, 64: 1}
cognition---{58: 1, 59: 1}
cognitive---{59: 1}
coletta---{59: 1}
collaborating---{60: 1, 61: 1, 64: 1}
collaboration---{59: 3}
collaborative---{58: 1, 59: 2}
collecting---{62: 1}
college---{58: 1, 59: 5}
come---{59: 2, 60: 1, 61: 1, 64: 1}
comm---{59: 1}
commercial---{59: 1}
commiskey---{59: 1}
communicate---{59: 1}
communication---{58: 1, 59: 7}
communications---{59: 4}
communities---{58: 2}
community---{58: 1, 59: 4}
como---{59: 1}
companies---{60: 1, 61: 1, 64: 1}
comparing---{59: 1}
comparison---{59: 1}
competence---{59: 1}
competency---{58: 1}
competition---{59: 2}
completed---{58: 1}
completing---{60: 1, 61: 1, 64: 1}
complex---{58: 2, 59: 1, 62: 1}
complicated---{58: 1}
composition---{59: 1}
comprehensive---{59: 1}
comput---{59: 1}
computational---{62: 1}
computer---{58: 14, 59: 15}
computerized---{58: 1, 59: 2}
computers---{58: 1}
computing---{58: 6, 59: 22}
conceptual---{58: 1}
condition---{59: 1}
conditions---{58: 2, 59: 3}
conduct---{60: 1, 61: 1, 64: 1}
conducting---{58: 1, 60: 1, 61: 1, 64: 1}
conference---{59: 52}
conferences---{59: 8, 60: 1, 61: 1, 64: 1}
congress---{59: 6}
consequences---{58: 1, 59: 1}
consider---{60: 2, 61: 2, 64: 2}
considerations---{59: 1}
consult---{59: 1}
consumer---{59: 5, 62: 1}
consumers---{58: 1}
contact---{58: 1, 59: 1, 60: 1, 61: 1, 62: 1, 63: 3, 64: 1}
content---{58: 1, 59: 2, 60: 1, 61: 1, 62: 2, 63: 1, 64: 1}
context---{58: 1}
contexts---{58: 1}
contextual---{58: 1, 59: 2}
contributes---{58: 1}
control---{59: 1}
controlled---{59: 2}
conway---{59: 2}
coop---{59: 1}
cooperative---{58: 4, 59: 15}
coordination---{59: 1}
cope---{58: 1}
copenhagen---{59: 4}
copyright---{58: 1, 59: 1, 60: 1, 61: 1, 62: 1, 63: 1, 64: 1}
corley---{59: 2}
cornell---{58: 1}
corps---{58: 1}
corpus---{59: 1}
costa---{58: 1, 59: 1, 62: 3}
couns---{59: 1}
counter---{59: 1}
country---{59: 1}
counts---{59: 1}
couper---{59: 2}
courses---{60: 1, 61: 1, 64: 1}
cox---{59: 1}
cp---{59: 1}
cr---{59: 1}
cramer---{59: 4}
create---{58: 1}
creating---{58: 1}
crises---{62: 2}
crisis---{59: 1}
critical---{58: 1}
cs---{59: 1}
cscw---{58: 3, 59: 18}
css---{58: 1}
cues---{59: 1}
cultural---{58: 1}
current---{58: 2}
currently---{58: 6}
czyz---{59: 1}
d---{59: 6}
da---{59: 22}
daily---{58: 1}
dashboard---{59: 1}
data---{58: 3, 59: 9, 62: 2}
dataset---{59: 1}
davis---{59: 2}
dc---{59: 4}
de---{58: 1, 59: 3}
death---{58: 1}
decis---{59: 1}
decision---{59: 4, 62: 1}
degree---{58: 9}
degrees---{58: 1}
delucia---{59: 2}
demand---{59: 1}
denmark---{59: 4}
denny---{59: 1}
denver---{59: 4}
department---{58: 7, 59: 5}
depend---{59: 1}
deployment---{59: 3}
depression---{58: 1}
design---{58: 10, 59: 11, 62: 2}
designer---{58: 2}
designers---{58: 1}
designing---{58: 2, 59: 5}
desirable---{60: 1, 61: 1, 64: 1}
develop---{60: 1, 61: 1, 64: 1}
developer---{58: 1}
developing---{59: 2, 62: 2}
development---{58: 3}
deviance---{59: 1}
device---{59: 2}
devices---{62: 1}
devops---{58: 1}
dewey---{59: 2}
df---{59: 1}
diabetes---{59: 3}
diabetic---{59: 1}
diane---{58: 1}
diary---{59: 2}
dicot---{59: 1}
diego---{59: 1}
difference---{58: 1}
differences---{59: 1}
different---{58: 2}
dimensions---{58: 1}
ding---{59: 1}
directions---{58: 1}
director---{58: 2}
disambiguation---{59: 3}
discharge---{59: 1}
disciplines---{58: 1}
discourse---{59: 1}
discovering---{59: 1}
discovery---{59: 1}
disease---{58: 1, 59: 2, 62: 1}
disordered---{59: 3}
disorders---{58: 1, 59: 2}
dissemination---{59: 1}
dissertation---{58: 1}
distinction---{59: 1}
distributed---{58: 1, 59: 1}
dizziness---{59: 1}
dj---{59: 2}
dk---{59: 1}
dn---{59: 1}
do---{58: 1, 59: 6, 60: 2, 61: 2, 64: 2}
doctor---{59: 2}
doctoral---{58: 1}
doctors---{59: 1}
documentation---{58: 2, 59: 3}
documents---{59: 3, 62: 1}
does---{58: 1, 59: 2}
doi---{59: 24}
donald---{58: 1, 63: 2}
done---{58: 1}
donohue---{59: 1}
dorea---{59: 1}
dot---{58: 1}
download---{59: 71}
drexel---{58: 1}
drifters---{59: 1}
drs---{60: 1, 61: 1, 64: 1}
drug---{59: 2}
dt---{59: 7}
duck---{59: 1}
duong---{59: 1}
dupuy---{59: 1}
during---{58: 1, 59: 6, 60: 2, 61: 2, 64: 2}
dw---{59: 1}
dynamic---{59: 2}
e---{59: 3}
e0139701---{59: 1}
e1---{59: 1}
e150---{59: 1}
e4---{59: 2}
e75---{59: 1}
each---{60: 1, 61: 1, 64: 1}
eai---{59: 5}
early---{60: 1, 61: 1, 64: 1}
earned---{58: 1}
ease---{59: 1}
eating---{58: 1, 59: 5}
ecol---{59: 1}
ecole---{58: 1}
econ---{59: 1}
edu---{58: 1}
educ---{59: 2}
education---{58: 1}
effective---{58: 1}
effects---{59: 3}
eh---{59: 2}
ehars---{59: 1}
ehr---{58: 1, 59: 5}
ehrlich---{59: 1}
eikey---{58: 1, 59: 7, 62: 1}
eikeye---{58: 1}
eisenberg---{59: 1}
ej---{59: 1}
ek---{59: 1}
el---{59: 1}
elderly---{59: 1}
eldin---{59: 1}
electronic---{58: 1, 59: 11}
eletriby---{59: 2, 62: 2}
eli---{59: 1}
elisa---{59: 1}
elizabeth---{58: 1, 59: 3, 62: 1}
else---{58: 1}
emergence---{59: 1}
emergency---{59: 9}
emerging---{59: 2}
emerse---{59: 1}
emotion---{59: 2}
emotions---{59: 1}
empatheticons---{59: 1}
empirical---{58: 1, 59: 2}
emr---{59: 4}
enable---{58: 1}
enabled---{59: 1}
encounters---{59: 1}
encourage---{58: 1}
endorsed---{59: 1}
endourol---{59: 1}
endourology---{59: 2}
engagement---{59: 1}
engaging---{59: 1}
engine---{59: 2}
engineer---{58: 1}
engineering---{58: 1}
english---{59: 1}
enhance---{58: 2}
enjoyable---{58: 1}
entering---{58: 1}
enterprise---{59: 1}
entity---{59: 1}
entry---{59: 1}
enviroinfo---{59: 2}
environment---{59: 1}
environmental---{59: 2}
environments---{58: 1}
eo---{59: 1}
epfl---{58: 1}
epidemic---{59: 1}
epidemiol---{59: 1}
er---{59: 1}
ergonomics---{58: 1, 59: 1}
es---{59: 1}
especially---{58: 1, 60: 2, 61: 2, 64: 2}
esquibel---{59: 2}
ethnographic---{59: 1}
eur---{59: 1}
ev---{59: 3}
evaluate---{58: 1}
evaluating---{58: 2, 59: 1}
evaluation---{59: 2}
everyday---{59: 1}
everything---{58: 1}
evidence---{59: 2}
evidenced---{60: 1, 61: 1, 64: 1}
evolution---{59: 1}
ewha---{58: 1}
exam---{59: 3}
examination---{58: 1}
examine---{59: 1}
examining---{58: 1, 59: 1}
exist---{59: 1}
expect---{60: 1, 61: 1, 64: 1}
expectations---{58: 1}
experience---{58: 1, 59: 1, 60: 1, 61: 1, 64: 1}
experiences---{58: 1, 59: 1}
experimental---{59: 1}
expert---{58: 1}
expertise---{59: 2}
exploration---{59: 1}
exploratory---{59: 2}
explore---{58: 1}
exploring---{58: 1, 59: 5, 62: 1}
expressive---{58: 1}
extensive---{58: 1}
f---{59: 3}
face---{58: 1, 59: 2}
facebook---{59: 1}
facilitating---{59: 2}
factors---{59: 14}
faculty---{58: 1}
fahmy---{59: 1}
fall---{58: 2}
false---{62: 1}
fam---{59: 1}
family---{59: 1}
fan---{58: 1, 59: 2}
fang---{59: 1}
farber---{59: 4}
farm---{59: 1}
fascinated---{58: 1}
fashionable---{59: 1}
fatemeh---{58: 1}
fatigue---{59: 3, 62: 1}
fc---{59: 1}
fd---{59: 1}
fe---{59: 1}
fear---{59: 1}
feasibility---{59: 1}
features---{59: 1}
feb---{59: 10}
federal---{58: 1}
feel---{60: 2, 61: 2, 64: 2}
feeling---{59: 1}
fellow---{58: 2}
fertility---{58: 1, 59: 2}
few---{60: 1, 61: 1, 64: 1}
field---{58: 2, 59: 3}
figueiredo---{58: 1, 59: 5, 62: 3}
finalist---{59: 1}
finalists---{59: 1}
find---{58: 1, 59: 1, 60: 2, 61: 2, 64: 2}
fine---{59: 1}
fingertips---{59: 2}
finland---{58: 1}
first---{58: 1, 59: 2, 60: 1, 61: 1, 64: 1}
fit---{58: 1}
fitness---{58: 1, 59: 6}
five---{59: 2}
fj---{59: 1}
floor---{63: 1}
flow---{59: 1}
flyers---{59: 1}
focus---{58: 2}
focused---{59: 1}
focuses---{58: 3, 60: 1, 61: 1, 64: 1}
fontaine---{59: 1}
food---{59: 2}
for---{58: 14, 59: 50, 60: 8, 61: 8, 62: 2, 64: 8}
forbat---{59: 1}
formed---{59: 1}
forums---{59: 1}
foster---{59: 1}
fourth---{60: 1, 61: 1, 64: 1}
fragmented---{59: 1, 62: 1}
france---{59: 2}
free---{60: 2, 61: 2, 64: 2}
frequent---{59: 1}
friedman---{59: 1}
from---{58: 20, 59: 8, 60: 1, 61: 1, 64: 1}
front---{59: 1}
fu---{59: 1}
functions---{58: 1}
future---{59: 1}
fédérale---{58: 1}
g---{59: 3}
gabuzda---{59: 4}
gage---{59: 2}
gaithersburg---{59: 1}
game---{59: 2}
games---{59: 2}
gans---{59: 1}
gao---{59: 1}
gap---{59: 1}
gather---{58: 1}
gazing---{59: 1}
gebremariam---{59: 2}
geissbuhler---{59: 2}
gemini---{59: 1}
gendler---{59: 1}
general---{59: 3}
generate---{58: 1}
get---{60: 3, 61: 3, 64: 3}
getting---{60: 1, 61: 1, 64: 1}
gettinger---{59: 1}
ghani---{59: 2}
git---{58: 1}
giuse---{59: 1}
gl---{59: 2}
gm---{59: 1}
going---{60: 1, 61: 1, 64: 1}
golang---{58: 1}
goldberg---{59: 1}
good---{60: 1, 61: 1, 64: 1}
gordon---{59: 1}
governs---{59: 1}
grad---{58: 1}
graduate---{60: 6, 61: 6, 64: 6}
granular---{59: 1}
gray---{59: 4}
greece---{59: 1}
greenberg---{59: 2}
griffith---{59: 1}
grounded---{58: 1}
group---{58: 2, 59: 2}
groups---{59: 2}
gs---{59: 1}
guan---{59: 1}
guangdong---{58: 1}
guarantee---{60: 2, 61: 2, 64: 2}
gui---{58: 1, 59: 19, 62: 2}
guix---{58: 1}
gururaj---{59: 1}
h---{59: 10}
hai---{58: 5, 59: 3, 60: 4, 61: 4, 62: 3, 63: 4, 64: 4}
hailabuci---{60: 2, 61: 2, 64: 2}
halasz---{59: 1}
hall---{63: 2}
hamilton---{59: 1}
hanauer---{59: 21}
handbag---{59: 1}
handheld---{59: 1}
handoffs---{59: 2}
hao---{59: 1}
haque---{59: 1}
hard---{60: 1, 61: 1, 64: 1}
harden---{59: 1}
harnessing---{58: 1, 59: 1}
harold---{59: 1}
have---{58: 11, 60: 3, 61: 3, 64: 3}
hawaii---{59: 5}
hci---{58: 4, 59: 1}
he---{58: 3, 59: 2, 62: 1}
headquarter---{58: 1}
health---{58: 27, 59: 53, 60: 2, 61: 2, 62: 9, 63: 1, 64: 2}
healthc---{59: 1}
healthcare---{58: 10, 59: 10, 62: 1}
healthy---{59: 1}
healthytogether---{59: 1}
heart---{58: 1}
hedging---{59: 1}
help---{58: 3}
helping---{58: 1}
helsinki---{58: 1}
hematology---{59: 1}
heng---{59: 1}
heraklion---{59: 1}
heroin---{59: 1}
heuristics---{59: 1}
hfes---{59: 1}
hi---{59: 4}
hicss---{59: 5}
high---{59: 2}
highly---{59: 1}
hill---{59: 1}
hilligoss---{59: 1}
hiner---{59: 1}
hirschman---{59: 1}
historical---{59: 1}
hiv---{59: 1}
hj---{59: 1}
hm---{59: 1}
hollenbeck---{59: 1}
home---{58: 1, 59: 2, 60: 1, 61: 1, 62: 1, 63: 1, 64: 1}
homegrown---{59: 1}
homepage---{58: 11}
honors---{60: 1, 61: 1, 64: 1}
hopkins---{59: 1}
horwitz---{59: 1}
hospital---{59: 2}
hospitalized---{58: 1}
hospitals---{60: 1, 61: 1, 64: 1}
how---{58: 11, 59: 4, 60: 1, 61: 1, 62: 2, 64: 1}
hripcsak---{59: 1}
html---{58: 1}
hu---{58: 1, 59: 1}
huang---{59: 2}
huazhong---{58: 1}
human---{58: 4, 59: 15}
humphreys---{59: 1}
hussain---{58: 1, 59: 6, 62: 1}
huzhx---{58: 1}
i---{58: 54, 59: 6}
i3---{58: 1}
ichi---{59: 1}
icicis---{59: 1}
iconference---{59: 2}
ict---{59: 2}
ict4s---{59: 2}
icts---{58: 1}
icwsm---{59: 1}
identifiers---{59: 1}
identifying---{59: 1}
ieee---{59: 4}
if---{59: 1, 60: 5, 61: 5, 64: 5}
il---{59: 4}
ill---{59: 1}
illinois---{58: 1}
illnesses---{62: 1}
impact---{58: 1, 59: 5, 60: 2, 61: 2, 64: 2}
impacts---{58: 1, 59: 1}
implement---{58: 1}
implementation---{59: 3}
implementing---{59: 1}
implications---{59: 1}
important---{58: 1}
improve---{58: 4, 59: 2, 62: 1}
improved---{59: 1}
improvements---{58: 1}
improving---{59: 2, 62: 1}
in---{58: 72, 59: 84, 60: 10, 61: 10, 62: 4, 63: 1, 64: 10}
incentives---{59: 1}
incident---{59: 1}
include---{58: 1}
inclusion---{58: 1}
increase---{59: 1}
independence---{59: 1}
individual---{59: 2, 60: 1, 61: 1, 64: 1}
individuals---{59: 1}
industry---{60: 2, 61: 2, 64: 2}
inf---{59: 1}
infect---{59: 1}
infection---{59: 1}
influence---{59: 1}
inform---{59: 30}
informal---{59: 2}
informatics---{58: 22, 59: 14, 62: 1}
information---{58: 15, 59: 17, 60: 2, 61: 2, 62: 2, 63: 1, 64: 2}
informational---{58: 1}
informed---{59: 1}
infrastructure---{59: 3}
inpatient---{59: 1}
institute---{58: 2}
institutions---{60: 1, 61: 1, 64: 1}
instructions---{60: 1, 61: 1, 64: 1}
int---{59: 6}
integrality---{59: 1}
integrating---{59: 3}
integration---{59: 2}
integrity---{59: 1}
intelligence---{58: 2, 59: 1}
intelligent---{59: 1}
intensive---{59: 2}
interact---{58: 3, 59: 4}
interaction---{58: 14, 59: 7, 60: 1, 61: 1, 64: 1}
interactions---{62: 1}
interactive---{58: 3, 59: 2}
interest---{58: 1}
interested---{58: 7, 60: 2, 61: 2, 64: 2}
interesting---{59: 1}
interests---{58: 7, 60: 1, 61: 1, 64: 1}
interface---{59: 1}
interfaces---{58: 1, 59: 1}
intergenerational---{59: 2}
intern---{58: 1}
internal---{59: 1}
international---{59: 31}
interned---{58: 1}
internet---{59: 4}
interpersonal---{59: 1}
interplay---{59: 1}
intersection---{58: 4}
intervention---{59: 1}
interventions---{58: 1}
interviews---{62: 1}
into---{59: 1, 60: 1, 61: 1, 64: 1}
investigating---{58: 3, 59: 3, 62: 1}
investigation---{59: 1}
involved---{60: 1, 61: 1, 64: 1}
irvine---{58: 10, 59: 1, 60: 2, 61: 2, 62: 1, 63: 3, 64: 2}
is---{58: 6, 60: 8, 61: 8, 63: 2, 64: 8}
ischool---{58: 2}
ising---{59: 1}
issues---{58: 1}
it---{58: 2, 59: 2, 60: 2, 61: 2, 64: 2}
italy---{59: 2}
its---{58: 1, 59: 2, 60: 1, 61: 1, 64: 1}
j---{59: 74}
ja---{59: 4}
jain---{59: 1}
jama---{59: 1}
jamia---{59: 3}
jan---{59: 4}
janecek---{59: 2}
java---{58: 1, 59: 2}
javascript---{58: 1}
jc---{59: 3}
je---{59: 3}
jen---{59: 1}
jf---{59: 1}
jg---{59: 2}
jiang---{59: 1}
jiayue---{59: 1}
jl---{59: 1}
jm---{59: 4}
jmir---{59: 1}
jo---{59: 1}
john---{59: 2}
johnson---{59: 2}
jose---{59: 1}
journal---{59: 3}
journals---{58: 1, 59: 8, 60: 1, 61: 1, 64: 1}
jr---{59: 4}
js---{59: 1}
jt---{59: 3}
july---{58: 1, 59: 1}
jun---{59: 4}
junior---{58: 2}
justin---{58: 1}
k---{59: 50}
ka---{59: 3}
kai---{58: 6, 59: 5, 60: 1, 61: 1, 64: 1}
kaleba---{59: 1}
kane---{59: 1}
karahalios---{58: 1}
karen---{59: 1}
karrie---{58: 1}
kathleen---{59: 1}
katie---{59: 2}
kayla---{59: 1}
ke---{59: 1}
kerber---{59: 1}
keystrokes---{59: 1}
khanna---{59: 1}
kileny---{59: 2}
kim---{59: 1}
king---{59: 1}
kingsley---{59: 2}
kj---{59: 2}
km---{59: 2}
know---{60: 1, 61: 1, 64: 1}
knowledge---{59: 2}
kobsa---{59: 2}
kolars---{59: 1}
koloa---{59: 1}
korea---{58: 1}
kou---{59: 8}
kow---{59: 3}
kr---{59: 2}
kramer---{59: 1}
kristin---{59: 1}
kt---{59: 2}
kvasny---{59: 1}
l---{59: 8}
lab---{58: 6, 59: 4, 60: 5, 61: 5, 62: 4, 63: 6, 64: 5}
laboratory---{58: 1}
ladaw---{59: 1}
lammers---{59: 1}
lang---{59: 1}
language---{58: 1, 59: 1, 62: 1}
languages---{59: 1}
lanham---{59: 1}
large---{59: 2}
lau---{59: 2}
launching---{59: 1}
lauren---{58: 1}
lausanne---{58: 1}
law---{59: 1}
lawrence---{58: 1}
lc---{59: 4}
le---{59: 2}
leading---{58: 1, 60: 1, 61: 1, 64: 1}
league---{59: 2}
learn---{58: 1}
learned---{59: 2}
learning---{58: 2, 59: 4}
leave---{60: 1, 61: 1, 64: 1}
leaves---{60: 1, 61: 1, 64: 1}
lee---{59: 5}
left---{60: 1, 61: 1, 64: 1}
legends---{59: 2}
